station,startDate,latitude,longitude,station_type,link
2053:AL:SCAN,2/8/02,34.9,-86.533,SCAN,2053:AL:SCAN
2055:AL:SCAN,4/23/02,34.445,-86.166,SCAN,2055:AL:SCAN
2056:AL:SCAN,4/23/02,34.433,-86.683,SCAN,2056:AL:SCAN
2057:AL:SCAN,4/24/02,34.783,-86.55,SCAN,2057:AL:SCAN
2078:AL:SCAN,8/26/03,34.894,-86.602,SCAN,2078:AL:SCAN
2113:AL:SCAN,5/18/06,34.195,-86.799,SCAN,2113:AL:SCAN
2114:AL:SCAN,6/7/06,32.608,-88.197,SCAN,2114:AL:SCAN
2115:AL:SCAN,5/19/06,32.435,-85.748,SCAN,2115:AL:SCAN
2173:AL:SCAN,4/9/10,34.82,-87.987,SCAN,2173:AL:SCAN
2174:AL:SCAN,4/10/10,33.108,-88.31,SCAN,2174:AL:SCAN
2175:AL:SCAN,4/11/10,33.332,-85.518,SCAN,2175:AL:SCAN
2176:AL:SCAN,4/12/10,32.404,-86.891,SCAN,2176:AL:SCAN
2177:AL:SCAN,7/11/15,32.284,-86.053,SCAN,2177:AL:SCAN
2178:AL:SCAN,4/14/10,32.412,-85.91,SCAN,2178:AL:SCAN
2179:AL:SCAN,4/15/10,34.18,-87.456,SCAN,2179:AL:SCAN
2180:AL:SCAN,5/8/10,30.524,-87.698,SCAN,2180:AL:SCAN
2181:AL:SCAN,5/8/10,31.109,-87.553,SCAN,2181:AL:SCAN
2182:AL:SCAN,5/10/10,31.019,-85.037,SCAN,2182:AL:SCAN
AL_Fairhope_3_NE,6/30/09,30.55,-87.88,CRN,AL_Fairhope_3_NE
AL_Gadsden_19_N,6/21/09,34.29,-85.96,CRN,AL_Gadsden_19_N
AL_Selma_13_WNW,3/28/18,32.46,-87.24,CRN,AL_Selma_13_WNW
STEMNet-1,1/19/22,34.874,-86.575,STEMNet,2078:AL:SCAN
STEMNet-2,2/15/22,34.763,-86.525,STEMNet,2057:AL:SCAN
STEMNet-3,3/08/22,34.2,-86.81,STEMNet,2113:AL:SCAN
